Genre Group,Count
Drama/Music/Sci-Fi,5
Crime/Documentary/Horror,5
Crime/Documentary/News,5
Animation/Fantasy/Sci-Fi,5
Animation/Family/Mystery,5
Adventure/Comedy/War,5
Documentary/History/Horror,5
Mystery/Western,5
Action/History/Thriller,5
Family/Game-Show/Reality-TV,5
Crime/Horror/Sci-Fi,5
Action/Biography/Comedy,5
Action/Crime/Documentary,5
Horror/Music/Mystery,5
Adventure/Family/Western,5
Documentary/Mystery/Sci-Fi,5
Action/Horror/War,5
Comedy/Family/Mystery,5
Adventure/Comedy/Thriller,5
Action/Crime/History,5
Animation/Documentary/Short,5
Reality-TV/Sport,5
Action/Documentary/History,5
Animation/Comedy/Mystery,5
Adventure/Animation/Crime,5
Family/Musical/Romance,5
Action/Comedy/Music,5
Animation/Sci-Fi/Short,5
Comedy/News/Talk-Show,5
Thriller/War,5
Comedy/Fantasy/Thriller,5
Drama/Music/Thriller,5
Drama/Horror/Music,5
Drama/Mystery/War,5
Crime/Documentary/War,5
Comedy/Documentary/Reality-TV,5
Romance/Comedy,5
Action/Comedy/War,5
Comedy/Romance/War,5
Crime/Romance,5
Documentary/Short/War,5
Documentary/Game-Show/Reality-TV,5
War/Western,5
Action/Mystery/Romance,5
Biography/Drama/Fantasy,5
Documentary/Drama/Mystery,5
Crime/Film-Noir/Mystery,5
Fantasy/Sci-Fi/Thriller,5
Adventure/Documentary/News,5
Comedy/Family/Talk-Show,5
Documentary/Family/Short,4
Adventure/Animation/Short,4
Comedy/Family/Short,4
Adventure/Biography/History,4
Comedy/Family/Horror,4
Drama/History/Sci-Fi,4
Crime/Family/Mystery,4
Comedy/Musical/War,4
Horror/Thriller/War,4
Drama/Mystery/Western,4
Documentary/Family/Music,4
Documentary/Family/News,4
Horror/Music/Thriller,4
Action/Horror/Romance,4
Documentary/Horror/Thriller,4
Family/Mystery,4
Biography/History/War,4
Action/Animation/Romance,4
Biography/Music,4
Animation/Fantasy/Mystery,4
Game-Show/Music/Reality-TV,4
Adventure/Drama/Sport,4
Documentary/Music/Short,4
Documentary/Reality-TV/Romance,4
Action/Musical/Romance,4
Documentary/Drama/Horror,4
Comedy/Family/Western,4
Documentary/Game-Show,4
Fantasy/History/Romance,4
Biography/Musical,4
Comedy/Music/Sport,4
Adult/Animation/Romance,4
Biography/Sport,4
Action/Sci-Fi/Sport,4
Animation/Family/Sport,4
Horror/Short/Thriller,4
Drama/Short/Sport,4
Biography/Documentary/Mystery,4
Documentary/Drama/Romance,4
Horror/Romance/Sci-Fi,4
Adventure/Biography,4
Comedy/Musical/Sci-Fi,4
History/Romance,4
Action/Thriller/Western,4
Family/Fantasy/Music,4
Action/Documentary/Family,4
Fantasy/Romance/Thriller,4
Drama/Fantasy/War,4
Action/Family/Sci-Fi,4
Adventure/Drama/Musical,4
Adventure/Mystery,4
Adventure/Comedy/Mystery,4
Action/Animation/History,4
Drama/Mystery/Short,4
Action/Biography/History,4
Adventure/Documentary/Short,4
